item,unit_price_nis,unit,notes
"סיר ממולאים",330,pot,"בשרי/טבעוני; פלפל/כרוב"
"סיר יפרח",650,pot,"עלי גפן ובצלים ממולאים כל טוב; טבעוני"
"סיר קובה טבעוני/בשר",250,pot,"טבעוני/בשרי; 20 יחידות; מרק לבחירה"
"קוסקוס",250,tray,"4.5 ליטר מתאים לכ-10 סועדים"
"סיר מרק לקוסקוס",250,pot,""
"פילה עוף מוקפץ",300,tray,"חבילה 1"
"סיר מפרום",330,pot,"לצד הקוסקוס; תפוא ממולא בשר"
"סיר ירכי עוף עם גרגירי חומס",300,pot,"סיר 10 ירכי עוף עם גרגרי חומוס"
"סלט מיונז",60,box,"סלטים מבושלים באריזה של חצי ליטר; תפוא ביצה קשה ומלפפון חמוץ"
"סלט פלפל קלוי",60,box,"סלטים מבושלים באריזה של חצי ליטר"
"מטבוחה",60,box,"סלטים מבושלים באריזה של חצי ליטר"
"חצילים בטחינה/מיונז",60,box,"סלטים מבושלים באריזה של חצי ליטר"
"סלק מרוקאי",60,box,"סלטים מבושלים באריזה של חצי ליטר"
"גזק מרוקאי",60,box,"סלטים מבושלים באריזה של חצי ליטר"
"חצילים בתחמיץ",60,box,"סלטים מבושלים באריזה של חצי ליטר"
"סלט ביצים",60,box,"סלטים מבושלים באריזה של חצי ליטר"
"כבד קצוץ",60,box,"סלטים מבושלים באריזה של חצי ליטר"
"צלי בקר",200,liter,"ליטר כ-4 פרוסות; גוש שלם 800 ש""ח"
"שניצלים",17,piece,"מינימום 15 יחידות"
"קציצות עוף מטוגנות",230,tray,""
"פילה דג",50,portion,"למנה"
"קציצות בקר",300,tray,"ברוטב עגבניות עם שעועית ירוקה; מגש"
"פלוב בוכרי",550,tray,"4.5 ליטר"
"דגים מרוקאיים",250,tray,"250 ש""ח ל-5 יחידות; תוספת דג 40 ש""ח"
"סופריטו",300,tray,"תפוא וקציצות/עוף"
"פאי רועים",250,tray,""
"פדתאי תאילנדי צמחוני",150,tray,""
"פדתאי תאילנדי עוף",200,tray,""
"אורז/תפו""א/פסטה ברוטב אדום",200,tray,"4.5 ליטר"
"פתיתים",200,tray,"אריזה גדולה"
"סלט כרוב עם ירוקים וחמוציות",160,tray,"2 ליטר; קופסא רגילה"
"סלט קינואה",160,tray,"2 ליטר; קופסא רגילה"
"מוקפץ איטריות אורז עוף/טופו",300,tray,"עוף או טופו לפי צורך"
"לביבות תפו""א",150,tray,"15-20 יחידות"
"אורז פרסי ירוק",250,tray,"4.5 ליטר"
"סטייק פרגית",45,piece,"מינימום 8 יחידות"
"קובה",130,piece,"מינימום 10 יחידות"
"פשטידת מחמר מרוקאית",180,tray,""
"סלט ירקות",100,tray,"ליחידה"
